label	target
0	-0.221794
1	0.748015
2	-0.092552
3	0.534579
4	1.071946
5	0.504417
6	0.035514
7	0.335103
8	0.591802
9	0.168014
10	-0.164061
11	0.348045
12	0.932642
13	0.812122
14	-0.207692
15	0.601882
16	0.560589
17	0.293301
18	0.014891
19	0.009603
20	0.447447
21	-0.132392
22	-0.077410
23	0.200203
24	0.231948
25	0.441901
26	1.056502
27	-0.363252
28	0.026202
29	0.081785
30	0.068271
31	0.000974
32	1.059633
33	0.975124
34	0.170313
35	0.311076
36	0.129170
37	0.419636
38	0.130018
39	-0.120205
40	0.150768
41	0.278726
42	0.508937
43	0.269381
44	0.306989
45	0.512790
46	1.129982
47	0.412801
48	0.325197
49	0.378061
50	-0.010004
51	-0.392466
52	-0.652613
53	-0.166968
54	0.204529
55	0.392888
56	0.336218
57	0.179554
58	0.771381
59	0.294156
60	0.087431
61	-0.291931
62	0.194536
63	-0.262194
64	0.112729
65	-0.581117
66	-0.409748
67	0.381199
68	0.389222
69	0.963344
70	1.653489
71	0.037834
72	0.416748
73	0.441005
74	0.744977
75	0.393580
76	0.024261
77	-0.371995
78	0.624940
79	0.682340
80	0.172514
81	-0.182178
82	-0.496876
83	0.264999
84	0.405845
85	1.812617
86	0.323047
87	0.435503
88	0.669888
89	0.340601
90	-0.278847
91	0.269237
92	0.048562
93	-0.248649
94	-0.550425
95	0.236124
96	0.950267
97	-0.656073
98	-0.046561
99	-0.235612
100	0.062331
101	0.160603
102	0.490028
103	-0.531722
104	0.598355
105	-0.482967
106	-0.610636
107	-0.518472
108	0.101523
109	-0.713004
110	-0.289101
111	-0.424033
112	-0.168696
113	-1.174594
114	-1.736663
115	-0.917603
116	-1.144109
117	0.047679
118	0.018501
119	0.687896
120	0.217322
121	-0.331209
122	-0.058298
123	-0.051820
124	0.421121
125	0.018237
126	0.580739
127	0.603011
128	0.850091
129	0.228215
130	-0.080195
131	0.311904
132	-0.081787
133	0.337379
134	-0.148922
135	0.815230
136	-0.571933
137	2.516124
138	1.710739
139	0.370867
140	-0.204904
141	-0.344931
142	-0.051019
143	0.517819
144	-0.711620
145	-1.382864
146	-0.448616
147	0.244991
148	-1.690575
149	-2.932920
150	-1.805022
151	-1.556256
152	-1.944719
153	-2.872615
154	-2.470587
155	-2.704140
156	0.214764
157	-0.954165
158	-1.918566
159	-3.612211
160	-4.170969
161	0.012465
162	0.994479
163	1.059951
164	-0.398934
165	-0.336988
166	0.323456
167	0.228424
168	0.156319
169	0.804122
170	0.703503
171	0.235877
172	1.344281
173	2.574925
174	1.440764
175	0.740700
176	-0.229858
177	0.014577
178	0.313141
179	-0.099570
180	0.033459
181	0.974056
182	0.901883
183	-0.577145
184	0.909492
185	0.214625
186	-0.251224
187	-0.563147
188	0.153930
189	-0.479836
190	-0.211256
191	0.010654
192	-0.952696
193	-1.274780
194	-0.701441
195	-1.454253
196	-1.057503
197	-1.755636
198	-1.064444
199	-0.738166
200	-1.630395
201	-1.225295
202	-1.463094
203	-2.063515
204	-1.514005
205	-1.254876
206	-2.234910
207	-1.454945
208	-0.993560
209	-3.649863
210	-3.552390
211	-0.118768
212	-0.324434
213	-1.844752
214	-1.703773
215	-0.623274
216	-1.446701
217	0.032328
218	-0.834375
219	-0.487665
220	-0.475433
221	0.104542
222	-1.195626
223	-1.976977
